Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2021-01-14,LTC,0.2732,0.087,0.0,0.913,1
2021-01-13,LTC,0.0,0.0,0.0,1.0,0
2021-01-12,LTC,0.0,0.0,0.0,1.0,0
2021-01-11,LTC,0.0,0.0,0.0,1.0,0
2021-01-10,LTC,-0.0129,0.0445,0.046,0.9099999999999999,-1
2021-01-09,LTC,0.0772,0.108,0.096,0.797,1
2021-01-08,LTC,0.20095,0.0765,0.0,0.9235,1
2021-01-07,LTC,0.6908,0.218,0.0,0.782,1
2021-01-06,LTC,0.23835,0.0595,0.0,0.9405,1
2021-01-05,LTC,0.5423,0.202,0.064,0.734,1
2021-01-04,LTC,0.38515,0.135,0.0145,0.8507499999999999,1
2021-01-03,LTC,-0.5423,0.0,0.132,0.868,-1
2021-01-02,LTC,0.4019,0.119,0.0,0.881,1
2021-01-01,LTC,0.2732,0.087,0.0,0.913,1
2020-12-31,LTC,0.3454,0.113,0.0,0.887,1
2020-12-30,LTC,0.0,0.0,0.0,1.0,0
2020-12-29,LTC,-0.09653333333333335,0.022000000000000002,0.05266666666666667,0.9253333333333332,-1
2020-12-28,LTC,0.0,0.0,0.0,1.0,0
2020-12-27,LTC,0.5634,0.19,0.089,0.721,1
2020-12-26,LTC,-0.3182,0.0,0.119,0.881,-1
2020-12-25,LTC,-0.1027,0.0,0.583,0.417,-1
2020-12-24,LTC,0.0,0.0,0.0,1.0,0
2020-12-23,LTC,0.0,0.0,0.0,1.0,0
2020-12-22,LTC,0.2553,0.0585,0.0,0.9415,1
2020-12-21,LTC,0.0,0.0,0.0,1.0,0
2020-12-20,LTC,0.0,0.0,0.0,1.0,0
2020-12-19,LTC,0.2495333333333333,0.06466666666666666,0.0,0.9353333333333333,1
2020-12-18,LTC,0.1366,0.056,0.0375,0.907,1
2020-12-17,LTC,0.7303333333333333,0.21833333333333335,0.0,0.7816666666666666,1
2020-12-16,LTC,0.0,0.0,0.0,1.0,0
2020-12-15,LTC,0.20149999999999998,0.129,0.07,0.801,1
2020-12-14,LTC,0.5106,0.152,0.0,0.848,1
2020-12-13,LTC,0.25,0.086,0.05,0.863,1
2020-12-12,LTC,0.7162000000000001,0.19766666666666666,0.0,0.8023333333333333,1
2020-12-11,LTC,0.0,0.0,0.0,1.0,0
2020-12-10,LTC,-0.1027,0.085,0.099,0.816,-1
2020-12-09,LTC,0.0,0.0,0.0,1.0,0
2020-12-08,LTC,0.0,0.0,0.0,1.0,0
2020-12-07,LTC,0.7184,0.429,0.0,0.571,1
2020-12-06,LTC,0.0,0.0,0.0,1.0,0
2020-12-05,LTC,0.0,0.0,0.0,1.0,0
2020-12-04,LTC,0.0,0.0,0.0,1.0,0
2020-12-03,LTC,0.1403,0.098,0.079,0.823,1
2020-12-02,LTC,0.0,0.0,0.0,1.0,0
2020-12-01,LTC,-0.4926,0.0,0.117,0.883,-1
2020-11-30,LTC,-0.7184,0.0,0.226,0.774,-1
2020-11-29,LTC,-0.296,0.0,0.087,0.913,-1
2020-11-28,LTC,0.2023,0.186,0.12,0.693,1
2020-11-27,LTC,0.0,0.0,0.0,1.0,0
2020-11-26,LTC,0.0,0.0,0.0,1.0,0
2020-11-25,LTC,0.1366,0.0455,0.0,0.9545,1
2020-11-24,LTC,0.4215,0.104,0.0,0.896,1
2020-11-23,LTC,0.19699999999999998,0.11166666666666668,0.05666666666666667,0.8316666666666667,1
2020-11-22,LTC,0.3612,0.0805,0.0,0.9195,1
2020-11-21,LTC,0.0,0.0,0.0,1.0,0
2020-11-20,LTC,0.0,0.0,0.0,1.0,0
2020-11-19,LTC,0.2787,0.0675,0.0,0.9325,1
2020-11-18,LTC,0.4389,0.108,0.0,0.892,1
2020-11-17,LTC,-0.1779,0.092,0.146,0.762,-1
2020-11-16,LTC,0.25,0.154,0.0,0.846,1
2020-11-15,LTC,-0.4019,0.0,0.105,0.895,-1
2020-11-14,LTC,0.0,0.0,0.0,1.0,0
