Date,Open_XXBTZ,High_XXBTZ,Low_XXBTZ,Close_XXBTZ,Vol_XXBTZ
2019-01-20 18:00:00,3534.8,3565.0,3488.0,3533.4,1547.13618753
2019-01-21 18:00:00,3531.7,3607.5,3440.0,3575.8,1985.34497321
2019-01-22 18:00:00,3575.7,3613.2,3524.2,3556.1,2110.96433853
2019-01-23 18:00:00,3556.1,3591.0,3531.3,3568.3,1735.04384450
2019-01-24 18:00:00,3571.2,3576.6,3511.6,3560.0,1149.97226983
2019-01-25 18:00:00,3560.0,3673.0,3535.6,3556.2,1443.40696500
2019-01-26 18:00:00,3555.8,3562.2,3470.8,3531.3,1170.10570545
2019-01-27 18:00:00,3533.5,3537.0,3373.8,3431.0,4223.88654216
2019-01-28 18:00:00,3431.0,3439.1,3344.5,3395.0,3060.27656387
2019-01-29 18:00:00,3390.5,3465.1,3371.3,3436.9,2130.91093966
2019-01-30 18:00:00,3435.1,3478.1,3395.2,3409.6,2200.63548929
2019-01-31 18:00:00,3409.6,3460.0,3373.5,3437.2,2824.67887843
2019-02-01 18:00:00,3436.6,3494.1,3414.0,3466.0,1347.49342036
2019-02-02 18:00:00,3467.7,3472.9,3388.6,3415.2,1300.82888033
2019-02-03 18:00:00,3416.6,3437.8,3396.9,3413.9,1359.62990401
2019-02-04 18:00:00,3411.0,3433.7,3397.8,3429.5,1429.38685442
2019-02-05 18:00:00,3430.0,3445.0,3337.0,3367.4,2289.49121231
2019-02-06 18:00:00,3367.2,3382.4,3348.1,3357.1,1512.88380802
2019-02-07 18:00:00,3359.5,3704.9,3341.4,3622.1,4231.50646809
2019-02-08 18:00:00,3624.0,3744.2,3589.6,3625.8,1780.95916756
2019-02-09 18:00:00,3625.7,3656.9,3578.2,3650.9,1114.66941941
2019-02-10 18:00:00,3647.3,3650.7,3577.7,3591.7,1388.71175715
2019-02-11 18:00:00,3591.0,3620.0,3538.2,3588.9,1383.23014194
2019-02-12 18:00:00,3585.4,3632.2,3560.0,3579.8,987.62604441
2019-02-13 18:00:00,3576.0,3589.3,3532.1,3562.4,835.12172617
2019-02-14 18:00:00,3560.6,3616.1,3546.9,3567.4,946.78857520
2019-02-15 18:00:00,3567.8,3613.3,3565.3,3580.1,964.91632521
2019-02-16 18:00:00,3583.9,3675.0,3552.7,3625.1,1433.44347746
2019-02-17 18:00:00,3627.7,3926.0,3617.1,3870.7,4873.97405577
2019-02-18 18:00:00,3870.1,3975.0,3838.2,3888.1,3326.31517672
2019-02-19 18:00:00,3890.6,3961.6,3865.7,3943.2,2074.00438324
2019-02-20 18:00:00,3938.6,3986.0,3863.2,3897.1,1838.58700690
2019-02-21 18:00:00,3897.0,3954.6,3884.9,3941.2,1714.98412867
2019-02-22 18:00:00,3940.4,4160.1,3911.0,4113.3,2943.73108279
2019-02-23 18:00:00,4111.1,4190.3,3625.0,3732.2,4240.45109350
2019-02-24 18:00:00,3732.4,3860.3,3732.3,3819.8,2325.62212569
2019-02-25 18:00:00,3819.6,3829.9,3764.0,3796.7,1890.39867573
2019-02-26 18:00:00,3791.8,3827.9,3652.6,3799.1,2805.95989959
2019-02-27 18:00:00,3797.8,3885.0,3756.4,3793.6,2010.80506465
2019-02-28 18:00:00,3793.7,3843.0,3785.8,3804.9,964.32145291
2019-03-01 18:00:00,3804.9,3817.4,3754.3,3810.1,528.89856765
2019-03-02 18:00:00,3813.5,3822.4,3755.4,3785.7,1199.10931344
2019-03-03 18:00:00,3785.7,3805.2,3670.9,3700.1,2280.64433456
2019-03-04 18:00:00,3700.0,3875.1,3690.6,3844.9,2289.09999250
2019-03-05 18:00:00,3845.0,3895.7,3805.0,3851.7,1552.14139273
2019-03-06 18:00:00,3851.6,3891.4,3829.9,3854.0,1882.24990116
2019-03-07 18:00:00,3854.0,3910.0,3760.3,3840.5,1884.20428597
2019-03-08 18:00:00,3840.5,3947.0,3836.7,3919.2,1652.40926475
2019-03-09 18:00:00,3916.1,3916.3,3863.7,3904.5,698.94382321
2019-03-10 19:00:00,3900.7,3911.2,3815.5,3851.2,1262.86118253
2019-03-11 19:00:00,3852.0,3879.6,3800.5,3863.1,1574.06311771
2019-03-12 19:00:00,3865.2,3873.5,3828.8,3852.8,881.79474838
2019-03-13 19:00:00,3851.6,3907.0,3782.0,3856.9,1236.37963740
2019-03-14 19:00:00,3856.6,3909.8,3847.8,3900.3,1128.43467216
2019-03-15 19:00:00,3900.1,4042.5,3899.9,3989.2,2160.35937378
2019-03-16 19:00:00,3989.5,3989.6,3937.4,3965.0,745.65446633
2019-03-17 19:00:00,3963.4,4019.9,3935.2,3969.6,1642.10131711
2019-03-18 19:00:00,3969.6,4010.0,3950.0,3999.9,1336.75471401
2019-03-19 19:00:00,3998.4,4048.8,3963.4,4033.0,2045.27473529
2019-03-20 19:00:00,4031.7,4064.4,3871.3,3974.3,2388.39762480
2019-03-21 19:00:00,3972.5,3999.0,3960.0,3984.1,1103.81827614
2019-03-22 19:00:00,3981.6,4000.0,3961.3,3982.4,736.79176036
2019-03-23 19:00:00,3980.4,3981.3,3946.7,3969.7,707.49922392
2019-03-24 19:00:00,3967.9,3976.6,3855.5,3906.0,2115.10591563
2019-03-25 19:00:00,3908.0,3921.6,3882.9,3918.8,1409.65973844
2019-03-26 19:00:00,3915.7,4037.3,3913.0,4026.1,2228.45823286
2019-03-27 19:00:00,4025.0,4025.0,3994.9,4013.7,1319.06479382
2019-03-28 19:00:00,4013.4,4100.0,4005.9,4088.9,2139.49520096
2019-03-29 19:00:00,4089.9,4130.0,4040.0,4090.9,1203.70143900
